City,x-coordinate,y-coordinate
London,590,219
Paris,839,634
Milan,1519,1130
Vienna,2236,729
Barcelona,819,1689
Madrid,234,1819
Lyon,1085,1087
Berlin,1940,56
Venice,1832,1134
