Index,City Name,Coordinate (x,y)
0,London,(590,219)
1,Paris,(839,634)
2,Milan,(1519,1130)
3,Vienna,(2236,729)
4,Barcelona,(819,1689)
5,Madrid,(234,1819)
6,Lyon,(1085,1087)
7,Berlin,(1940,56)
8,Venice,(1832,1134)
9,Rome,(1849,1624)
10,Munich,(1758,740)
11,Zurich,(1455,852)
12,Amsterdam,(1094,81)
13,Brussels,(1039,326)
14,Florence,(1726,1367)
15,Birmingham,(414,62)
16,Prague,(2043,448)
17,Nantes,(448,875)
