Index,City Name,Coordinate (x,y)
0,London,(590,219)
1,Brussels,(1039,326)
2,Amsterdam,(1094,81)
3,Berlin,(1940,56)
4,Munich,(1758,740)
5,Prague,(2043,448)
6,Vienna,(2236,729)
7,Venice,(1832,1134)
8,Rome,(1849,1624)
9,Florence,(1726,1367)
10,Zurich,(1455,852)
11,Milan,(1519,1130)
12,Paris,(839,634)
13,Birmingham,(414,62)
14,Barcelona,(819,1689)
15,Madrid,(234,1819)
16,Nantes,(448,875)
17,Lyon,(1085,1087)
