Index,City Name,Coordinate (x,y)
0,London,(590,219)
1,Paris,(839,634)
2,Birmingham,(414,62)
3,Brussels,(1039,326)
4,Amsterdam,(1094,81)
5,Berlin,(1940,56)
6,Vienna,(2236,729)
7,Prague,(2043,448)
8,Munich,(1758,740)
9,Lyon,(1085,1087)
10,Milan,(1519,1130)
11,Zurich,(1455,852)
12,Venice,(1832,1134)
13,Rome,(1849,1624)
14,Florence,(1726,1367)
15,Barcelona,(819,1689)
16,Madrid,(234,1819)
17,Nantes,(448,875)
