Index,City Name,Coordinate (x,y)
0,London,(590,219)
1,Munich,(1758,740)
2,Berlin,(1940,56)
3,Prague,(2043,448)
4,Brussels,(1039,326)
5,Paris,(839,634)
6,Zurich,(1455,852)
7,Madrid,(234,1819)
8,Nantes,(448,875)
9,Florence,(1726,1367)
10,Rome,(1849,1624)
11,Milan,(1519,1130)
12,Amsterdam,(1094,81)
13,Birmingham,(414,62)
14,Barcelona,(819,1689)
15,Lyon,(1085,1087)
16,Venice,(1832,1134)
17,Vienna,(2236,729)
