Index,City Name,Coordinate (x,y)
0,London,(590,219)
1,Berlin,(1940,56)
2,Birmingham,(414,62)
3,Amsterdam,(1094,81)
4,Brussels,(1039,326)
5,Prague,(2043,448)
6,Paris,(839,634)
7,Vienna,(2236,729)
8,Munich,(1758,740)
9,Zurich,(1455,852)
10,Nantes,(448,875)
11,Lyon,(1085,1087)
12,Milan,(1519,1130)
13,Venice,(1832,1134)
14,Florence,(1726,1367)
15,Rome,(1849,1624)
16,Barcelona,(819,1689)
17,Madrid,(234,1819)
