Index,City Name,Coordinate (x,y)
0,London,(590,219)
1,Madrid,(234,1819)
2,Barcelona,(819,1689)
3,Lyon,(1085,1087)
4,Venice,(1832,1134)
5,Vienna,(2236,729)
6,Milan,(1519,1130)
7,Rome,(1849,1624)
8,Florence,(1726,1367)
9,Brussels,(1039,326)
10,Paris,(839,634)
11,Birmingham,(414,62)
12,Amsterdam,(1094,81)
13,Berlin,(1940,56)
14,Munich,(1758,740)
15,Prague,(2043,448)
16,Nantes,(448,875)
17,Zurich,(1455,852)
